ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,community_id,orig_mac_oui
1759307303.08338,Ca9rSn2xZGM9qPXJR,10.0.0.1,60537,239.255.255.250,1900,udp,,3.00272798538208,688.0,0.0,S0,True,False,0,D,4,800,0,0,1:L9w7jyRJIitRdHcU6O7Di8r50Lk=,Dell Inc.
1759309372.983025,CTer5r2kthwyRMcJMd,10.0.0.1,40871,8.8.8.8,53,udp,dns,6.096251964569092,33.0,123.0,SF,True,False,0,Dd,1,61,2,179,1:IMMA6lhSTVmJYrPJmSv9QY+0gwE=,Dell Inc.
1759307360.057607,Ch1tjR2rhBYmw0LE39,10.0.0.1,34614,8.8.8.8,53,udp,dns,0.0034620761871337,60.0,60.0,SF,True,False,0,Dd,1,88,1,88,1:jCFbkB35U/f3EMuRyP+1Epse9Tk=,Dell Inc.
1759307376.445772,CEpCtn3lPNMIP50DUh,10.0.0.2,54828,10.0.0.1,80,tcp,http,0.0059709548950195,1034.0,798.0,SF,True,True,0,ShADadFf,7,1406,5,1066,1:jazkOBgVKy0WnD61aOZmprLVCUo=,"LCFC(Hefei) Electronics Technology co., ltd"
1759309343.109541,C0iYQs1O6A4m1Sb8pl,10.0.0.1,42698,239.255.255.250,1900,udp,,3.00241494178772,688.0,0.0,S0,True,False,0,D,4,800,0,0,1:MuoqjfM/dpz4dcZBf/YwYVv0Jok=,Dell Inc.
1759309400.408953,C8Td754imFgIgrcnL4,10.0.0.1,56748,52.182.143.214,443,tcp,ssl,1.0991671085357666,10054.0,5157.0,SF,True,False,0,ShADdafF,17,10946,13,5841,1:oKFyE78uK+c2j+YqilzqNJRVcOg=,Dell Inc.
1759307389.739266,ChgTer2BogDG3tgwVl,10.0.0.1,37325,8.8.8.8,53,udp,dns,0.0189921855926513,47.0,383.0,SF,True,False,0,Dd,1,75,1,411,1:quwHOmGVRhVxd+/EAWnkeCK4ahc=,Dell Inc.
1759309395.99813,CFRGpP3mCiGnxAepa,10.0.0.1,55814,34.0.245.166,443,tcp,ssl,6.195925951004028,2806.0,4983.0,SF,True,False,0,ShADadFftR,18,3726,16,5823,1:WmhSJR/jLLxNFDYxYbesB1KUES4=,Dell Inc.
1759309395.880242,CD2fQ82uDPXtPqPUSf,10.0.0.1,56341,8.8.8.8,53,udp,dns,0.0092508792877197,38.0,84.0,SF,True,False,0,Dd,1,66,1,112,1:GwgrzgCs/NOnvyImtDRaBhFxyus=,Dell Inc.
1759307420.064329,C3Fd9veYc3QQebzq9,10.0.0.1,44472,20.189.173.27,443,tcp,ssl,0.8104901313781738,10054.0,5158.0,SF,True,False,0,ShADdafFR,18,10986,14,5882,1:iUJhjzmPpqDZ9V0FGLXULl8a0Lc=,Dell Inc.
