ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,version,cipher,curve,server_name,resumed,established,ssl_history,ja3,ja3s,ja4,community_id,cert_chain_fps,client_cert_chain_fps,sni_matches_cert,validation_status,next_protocol
1759302980.665208,CdH2j839WInjCVh2N3,10.0.0.1,55918,20.42.65.89,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,mobile.events.data.microsoft.com,False,True,CjiICs,06c7c8851b69f67e31df21d5075e2dfd,46ca3a127f5443353dfb8cc2e16197e5,t13d181200_5d04281c6031_02c8e53ee398,1:SJapMBzdll5bir2smH4M55cfLJM=,,,,,
1759302685.343371,CsQ9zn3iW5wV8C2Mh9,10.0.0.1,39088,52.182.143.210,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,mobile.events.data.microsoft.com,False,True,CjiICs,06c7c8851b69f67e31df21d5075e2dfd,46ca3a127f5443353dfb8cc2e16197e5,t13d181200_5d04281c6031_02c8e53ee398,1:uH/1A+veetmgLd6gQ1BK2uX8Ycg=,,,,,
1759302965.202333,CG5GnG2lP1nQXndazl,10.0.0.1,46047,172.253.118.93,443,TLSv13,TLS_AES_128_GCM_SHA256,unknown-4588,www.youtube.com,True,False,Cs,9dc22fbed2bfea2989289030928bf147,2b0648ab686ee45e0e7c35fcfb0eea7e,q13d0313h3_55b375c5d22e_226f3f127bbe,,,,,,
1759304182.033762,CqENoi2h0TEJsNNYG3,10.0.0.1,59374,216.239.32.3,443,TLSv13,TLS_AES_128_GCM_SHA256,unknown-4588,beacons2.gvt2.com,False,True,CsiI,c1e8ee1b30c46db066ac133eadd331c3,eb1d94daa7e0344597e756a1fb6e7054,t13d1517h2_8daaf6152771_b6f405a00624,1:DE4LvtVa6CppPJV6s+2yBScmTrw=,,,,,
1759302692.609055,C8JKut3WWvzIT8U9kc,10.0.0.1,35006,34.204.64.57,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,registry-1.docker.io,False,True,CsiI,fe2890151de23c89070fe03e27e6bcf2,f4febc55ea12b31ae17cfb7e614afda8,t13d131000_f57a46bbacb6_e7c285222651,1:M+2YSXpXyjHfF9elQlb632LXumA=,,,,,
1759302693.555042,Ca9xWp2NQoUY1DU0j3,10.0.0.1,60482,52.45.118.210,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,auth.docker.io,False,True,CsiI,6d5f35fb7243459b41a74ad9f23d7393,f4febc55ea12b31ae17cfb7e614afda8,t13d1311h2_f57a46bbacb6_e7c285222651,1:oslCmeXdpgdWOUOPRng3H1Fkh6Q=,,,,,
1759302693.555039,CjSHug2nH7SENbZ8x5,10.0.0.1,60496,52.45.118.210,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,auth.docker.io,False,True,CsiI,6d5f35fb7243459b41a74ad9f23d7393,f4febc55ea12b31ae17cfb7e614afda8,t13d1311h2_f57a46bbacb6_e7c285222651,1:PWoHM9w/s4zuVk02U9rkvQzt+LM=,,,,,
1759304183.08948,CmKDPE4BkEnnfHzKTi,10.0.0.1,56872,64.233.170.188,443,TLSv13,TLS_AES_128_GCM_SHA256,unknown-4588,mtalk.google.com,False,True,CsiI,98ac83ab60fb17e68d21915e7c3b93be,eb1d94daa7e0344597e756a1fb6e7054,t13d151400_8daaf6152771_0a20fe35d3a5,1:NP8A8sBRStFOuORo+7xw/BeKvIY=,,,,,
1759302692.609054,C8gGOg1ElL8dAkRA46,10.0.0.1,34990,34.204.64.57,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,registry-1.docker.io,False,True,CsiI,fe2890151de23c89070fe03e27e6bcf2,f4febc55ea12b31ae17cfb7e614afda8,t13d131000_f57a46bbacb6_e7c285222651,1:XvAdIZ3cGeX8A8dKoGN4KBfBd0E=,,,,,
1759302702.430868,CxXdEI88EuLPDws09,10.0.0.1,44758,146.75.46.132,443,TLSv13,TLS_AES_128_GCM_SHA256,unknown-4588,dl-cdn.alpinelinux.org,False,True,CsiI,27718d56688425cd36a401c66147c4ee,f4febc55ea12b31ae17cfb7e614afda8,t13d301100_1d37bd780c83_8e6e362c5eac,1:ucbQKKytnLdb30bAx4pjsHVNnyw=,,,,,
